id,credito,enganche,precio base,monto contrato,precio venta credito,dif,BASE,VENTA
161,1403957.87,45010.13,1455000,1448968,1448968,0,1455000,1448968
162,1203282,287811,1491000,1491093,1491093,0,1491000,1491093
163,1581029.86,53970.14,1620000,1635000,1635000,0,1620000,1635000
164,1301760.12,86739.88,1356000,1388500,1388500,0,1356000,1388500
113,1021761.08,409238.92,1451000,1431000,1431000,0,1451000,1431000
90,1471040,167960,1647000,1639000,1639000,0,1647000,1639000
165,1756611.97,-8500,1540000,1748111.97,1748111.97,0,1540000,1748111.97
167,1117366.43,387633.57,1495000,1505000,1505000,0,1495000,1505000
168,1204860,196140,1421000,1401000,1401000,0,1421000,1401000
169,1465437.33,13562.67,1479000,1479000,1479000,0,1479000,1479000
171,959260,181740,1141000,1141000,1141000,0,1141000,1141000
170,1608102.08,88897.92,1697000,1697000,1697000,0,1697000,1697000
174,1218640,10000,1236000,1228640,1228640,0,1236000,1228640
173,1680150,89920,1675000,1770070,1770070,0,1675000,1770070
175,1636226.06,213380.94,1683000,1849607,1849607,0,1683000,1849607
176,1264855.36,232144.64,1505000,1497000,1497000,0,1505000,1497000
178,1488225.89,16774.11,1505000,1505000,1505000,0,1505000,1505000
179,1662993,0,1560000,1662993,1662993,0,1560000,1662993
180,1134614.1,6385.9,1141000,1141000,1141000,0,1141000,1141000
181,1313058.16,60941.84,1374000,1374000,1374000,0,1374000,1374000
182,1130500,115035.69,1141000,1245535.69,1245535.69,0,1141000,1245535.69
183,1301760,54240,1356000,1356000,1356000,0,1356000,1356000
184,1380418.12,156581.88,1527000,1537000,1537000,0,1527000,1537000
185,0,1519000,1549000,1519000,1519000,0,1549000,1519000
186,1127916.86,369083.14,1527000,1497000,1497000,0,1527000,1497000
187,1247953.96,312046.04,1560000,1560000,1560000,0,1560000,1560000
188,0,1451000,1451000,1451000,1451000,0,1451000,1451000
189,1078054.64,456585.36,1522000,1534640,1534640,0,1522000,1534640
190,1263662.1,389210.9,1560000,1652873,1652873,0,1560000,1652873
191,1279800,300200,1580000,1580000,1580000,0,1580000,1580000
193,0,1651000,1651000,1651000,1651000,0,1651000,1651000
194,1863600,67664.01,1858000,1931264.01,1931264.01,0,1858000,1931264.01
196,890245.62,920394.38,1798000,1810640,1810640,0,1798000,1810640
197,0,1798750,1785000,1798750,1798750,0,1785000,1798750
199,1677500,283500,1961000,1961000,1961000,0,1961000,1961000
200,1719027.4,78972.6,1798000,1798000,1798000,0,1798000,1798000
201,1194990,764010,1959000,1959000,1959000,0,1959000,1959000
202,770988,794012,1580000,1565000,1565000,0,1580000,1565000
205,1476068.89,353458.61,1519000,1829527.5,1829527.5,0,1519000,1829527.5
206,1592819.9,38234.35,1539000,1631054.25,1631054.25,0,1539000,1631054.25
207,1090932.96,629322.54,1597000,1720255.5,1720255.5,0,1597000,1720255.5
208,1297809,494228.9,1539000,1792037.9,1792037.9,0,1539000,1792037.9
209,1747199.7,126310.7,1686000,1873510.4,1873510.4,0,1686000,1873510.4
211,1024560,202716,1226000,1227276,1227276,0,1226000,1227276
210,1374143,399996.49,1598000,1774139.49,1774139.49,0,1598000,1774139.49
213,1168878.16,383796.84,1529000,1552675,1552675,0,1529000,1552675
212,1191487.24,11182.76,1226000,1202670,1202670,0,1226000,1202670
215,1899659.28,94340.72,1994000,1994000,1994000,0,1994000,1994000
216,0,1801000,1801000,1801000,1801000,0,1801000,1801000
218,0,940000,940000,940000,940000,0,940000,940000
219,635939.21,756437.79,1392000,1392377,1392377,0,1392000,1392377
220,916200,4196,920000,920396,920396,0,920000,920396
221,1615526.9,77473.1,1693000,1693000,1693000,0,1693000,1693000
222,1220173.4,44886.6,1265000,1265060,1265060,0,1265000,1265060
223,1157284.14,3955.86,1161000,1161240,1161240,0,1161000,1161240
224,1162409.99,215660.01,1377500,1378070,1378070,0,1377500,1378070
225,879154.81,498825.19,1377500,1377980,1377980,0,1377500,1377980
226,1426572.39,-7222.39,1429140,1419350,1419350,0,1429140,1419350
227,1047215,0,999000,1047215,1047215,0,999000,1047215
229,1051772.88,17257.12,1069000,1069030,1069030,0,1069000,1069030
230,1121161.5,262988.5,1384000,1384150,1384150,0,1384000,1384150
231,1293004.99,196025.01,1489000,1489030,1489030,0,1489000,1489030
232,0,1250901,1246000,1250901,1250901,0,1246000,1250901
233,948791.77,183243.23,1141000,1132035,1132035,0,1141000,1132035
234,1072579.96,41436.04,1141000,1114016,1114016,0,1141000,1114016
235,849793.82,150801.18,999000,1000595,1000595,0,999000,1000595
236,1351766.47,6277.53,1387000,1358044,1358044,0,1387000,1358044
237,0,1497630,1505000,1497630,1497630,0,1505000,1497630
238,582778.56,649282.44,1226000,1232061,1232061,0,1226000,1232061
239,1356144.83,31174.17,1387000,1387319,1387319,0,1387000,1387319
240,0,1940665.07,1677000,1940665.07,1940665.07,0,1677000,1940665.07
241,1328690,241310,1570000,1570000,1570000,0,1570000,1570000
243,594071,1052929,1647000,1647000,1647000,0,1647000,1647000
244,1663840.5,174589.2,1647000,1838429.7,1838429.7,0,1647000,1838429.7
242,1133879.13,485927.38,1582000,1619806.51,1619806.51,0,1582000,1619806.51
246,1393566,0,1392000,1393566,1393566,0,1392000,1393566
247,1454774.95,5254.05,1460000,1460029,1460029,0,1460000,1460029
248,1495344,81297,1460000,1576641,1576641,0,1460000,1576641
250,1424780.18,35219.82,1460000,1460000,1460000,0,1460000,1460000
249,1084140,156000,1266000,1240140,1240140,0,1266000,1240140
251,1040920.58,351079.42,1392000,1392000,1392000,0,1392000,1392000
252,1373000,120120,1493000,1493120,1493120,0,1493000,1493120
214,958184.45,1304.55,920000,959489,959489,0,920000,959489
254,1455030.77,1800,1392000,1456830.77,1456830.77,0,1392000,1456830.77
255,1272696,322414,1594000,1595110,1595110,0,1594000,1595110
256,1461100.38,38899.62,1262000,1500000,1500000,0,1262000,1500000
253,782221.51,157117.49,920000,939339,939339,0,920000,939339
258,916245.53,11062.47,920000,927308,927308,0,920000,927308
259,1447470.94,2559.37,1297000,1450030.31,1450030.31,0,1297000,1450030.31
260,0,1838137.15,1638000,1838137.15,1838137.15,0,1638000,1838137.15
261,0,1674920,1653000,1674920,1674920,0,1653000,1674920
262,1550000,402607.3,1691000,1952607.3,1952607.3,0,1691000,1952607.3
30,0,1844598,1638000,1844598,1844598,0,1638000,1844598
116,1456480,309520,1766000,1766000,1766000,0,1766000,1766000
265,1019180,147441,1184000,1166621,1166621,0,1184000,1166621
130,0,1251203.34,1250000,1251203.34,1251203.34,0,1250000,1251203.34
266,1316493,377272,1681000,1693765,1693765,0,1681000,1693765
267,1379444.9,5000,1169000,1384444.9,1384444.9,0,1169000,1384444.9
268,1263370.8,477359.2,1562000,1740730,1740730,0,1562000,1740730
100,1261260,237055.96,1134000,1498315.96,1498315.96,0,1134000,1498315.96
269,0,1930914,2067000,1930914,1930914,0,2067000,1930914
271,1484127,185873,1641000,1670000,1670000,0,1641000,1670000
270,1462500,10000,1522500,1472500,1472500,0,1522500,1472500
272,1904044.1,159955.9,2114000,2064000,2064000,0,2114000,2064000
273,1064359,699999.85,1737000,1764358.85,1764358.85,0,1737000,1764358.85
275,1065475.3,105524.7,1171000,1171000,1171000,0,1171000,1171000
279,1267020.7,153979.3,1421000,1421000,1421000,0,1421000,1421000
280,1088916,97084,1206000,1186000,1186000,0,1206000,1186000
281,931292.9,380463.03,1141000,1311755.93,1311755.93,0,1141000,1311755.93
283,1208223.96,34470.14,1019000,1242694.1,1242694.1,0,1019000,1242694.1
284,1290736.21,30263.79,1321000,1321000,1321000,0,1321000,1321000
276,1223225,22775,1246000,1246000,1246000,0,1246000,1246000
285,0,1602000,1592000,1602000,1602000,0,1592000,1602000
286,1503234.44,45765.56,1549000,1549000,1549000,0,1549000,1549000
287,1594690,17310,1632000,1612000,1612000,0,1632000,1612000
289,1164420,236580,1451000,1401000,1401000,0,1451000,1401000
290,1232495.06,136296,1059000,1368791.06,1368791.06,0,1059000,1368791.06
291,1261842.4,132394.6,1374000,1394237,1394237,0,1374000,1394237
293,1417500,-15270.96,1374000,1402229.04,1402229.04,0,1374000,1402229.04
294,1149500,-8500,1141000,1141000,1141000,0,1141000,1141000
295,1095532,45468,1141000,1141000,1141000,0,1141000,1141000
297,0,1291000,1291000,1291000,1291000,0,1291000,1291000
296,1299244.74,244304.26,999000,1543549,1543549,0,999000,1543549
298,1182895,374105,1557000,1557000,1557000,0,1557000,1557000
299,1044642.32,246357.68,1291000,1291000,1291000,0,1291000,1291000
300,800000,574000,1374000,1374000,1374000,0,1374000,1374000
301,896735,301905,1206000,1198640,1198640,0,1206000,1198640
304,1189059,-5419,1171000,1183640,1183640,0,1171000,1183640
305,1189059,47106,1171000,1236165,1236165,0,1171000,1236165
306,1244824.02,56175.98,1301000,1301000,1301000,0,1301000,1301000
307,1034571,358429,1451000,1393000,1393000,0,1451000,1393000
308,1103076.18,65563.82,1171000,1168640,1168640,0,1171000,1168640
310,1224316.18,150129.02,1151000,1374445.2,1374445.2,0,1151000,1374445.2
311,1181327.29,-5419,1151000,1175908.29,1175908.29,0,1151000,1175908.29
107,591382.27,769653.13,1206000,1361035.4,1361035.4,0,1206000,1361035.4
313,1436016.15,250537.92,1386000,1686554.07,1686554.07,0,1386000,1686554.07
314,982541.81,160726.48,1141000,1143268.29,1143268.29,0,1141000,1143268.29
315,1118870,45455,1109000,1164325,1164325,0,1109000,1164325
317,1747152,305905.3,1920000,2053057.3,2053057.3,0,1920000,2053057.3
316,1347192.46,203719.58,1356000,1550912.04,1550912.04,0,1356000,1550912.04
312,1347188.75,288510.95,1394000,1635699.7,1635699.7,0,1394000,1635699.7
321,952480.96,417715.83,1099000,1370196.79,1370196.79,0,1099000,1370196.79
320,1377268.29,90801,1356000,1468069.29,1468069.29,0,1356000,1468069.29
172,0,1686461.9,1439000,1686461.9,1686461.9,0,1439000,1686461.9
323,1366133.27,199679.03,1356000,1565812.3,1565812.3,0,1356000,1565812.3
322,1570632.83,351157.61,1683000,1921790.44,1921790.44,0,1683000,1921790.44
324,0,1580363.15,1495000,1580363.15,1580363.15,0,1495000,1580363.15
325,927301,632296.4,1376000,1559597.4,1559597.4,0,1376000,1559597.4
326,0,1810875.82,1606000,1810875.82,1810875.82,0,1606000,1810875.82
327,2130373.02,121436.88,2181000,2251809.9,2251809.9,0,2181000,2251809.9
329,1052458.25,98541.75,1151000,1151000,1151000,0,1151000,1151000
330,742440,696560,1439000,1439000,1439000,0,1439000,1439000
331,671197.99,797802.01,1469000,1469000,1469000,0,1469000,1469000
333,1145949.1,210050.9,1356000,1356000,1356000,0,1356000,1356000
332,0,2022078.99,1745000,2022078.99,2022078.99,0,1745000,2022078.99
334,1195660.51,10339.49,1206000,1206000,1206000,0,1206000,1206000
336,1106468.77,64531.23,1171000,1171000,1171000,0,1171000,1171000
335,0,1865300.3,1785000,1865300.3,1865300.3,0,1785000,1865300.3
198,562171,916829,1479000,1479000,1479000,0,1479000,1479000
338,1746923.7,65498.13,1765000,1812421.83,1812421.83,0,1765000,1812421.83
341,1583729,310271,1894000,1894000,1894000,0,1894000,1894000
340,0,2064250.18,1984000,2064250.18,2064250.18,0,1984000,2064250.18
342,1449465.75,244540.49,1291000,1694006.24,1694006.24,0,1291000,1694006.24
343,1260650,421350,1702000,1682000,1682000,0,1702000,1682000
344,1291360,394022.13,1659000,1685382.13,1685382.13,0,1659000,1685382.13
346,1441304.36,519837.61,1659000,1961141.97,1961141.97,0,1659000,1961141.97
328,2253514.46,0,2169000,2253514.46,2253514.46,0,2169000,2253514.46
347,717832,1500537.42,2169000,2218369.42,2218369.42,0,2169000,2218369.42
349,485406.2,1936802.41,2169000,2422208.61,2422208.61,0,2169000,2422208.61
350,2234089.9,395733.45,2181000,2629823.35,2629823.35,0,2181000,2629823.35
355,0,1248929,1246000,1248929,1248929,0,1246000,1248929
353,1265282.79,224717.21,1520000,1490000,1490000,0,1520000,1490000
358,434781,751219,1206000,1186000,1186000,0,1206000,1186000
359,1110518,60482,1171000,1171000,1171000,0,1171000,1171000
361,1531691,62309,1614000,1594000,1594000,0,1614000,1594000
